Player,height,weight,collage,born,birth_city,birth_state
Curly Armstrong,180.0,77.0,Indiana University,1918.0,,
Cliff Barker,188.0,83.0,University of Kentucky,1921.0,Yorktown,Indiana
Leo Barnhorst,193.0,86.0,University of Notre Dame,1924.0,,
Ed Bartels,196.0,88.0,North Carolina State University,1925.0,,
Ralph Beard,178.0,79.0,University of Kentucky,1927.0,Hardinsburg,Kentucky
Gene Berce,180.0,79.0,Marquette University,1926.0,,
Charlie Black,196.0,90.0,University of Kansas,1921.0,Arco,Idaho
Nelson Bobb,183.0,77.0,Temple University,1924.0,Philadelphia,Pennsylvania
Jake Bornheimer,196.0,90.0,Muhlenberg College,1927.0,New Brunswick,New Jersey
Vince Boryla,196.0,95.0,University of Denver,1927.0,East Chicago,Indiana
Don Boven,193.0,95.0,Western Michigan University,1925.0,Kalamazoo,Michigan
Harry Boykoff,208.0,102.0,St. John's University,1922.0,Brooklyn,New York
Joe Bradley,190.0,79.0,Oklahoma State University,1928.0,Washington,Oklahoma
Bob Brannum,196.0,97.0,Michigan State University,1925.0,,
Carl Braun,196.0,81.0,Colgate University,1927.0,Brooklyn,New York
Frankie Brian,185.0,81.0,Louisiana State University,1923.0,Zachary,Louisiana
Price Brookfield,193.0,83.0,West Texas A&M University,1920.0,Floydada,Texas
Bob Brown,193.0,92.0,Miami University,1923.0,Versailles,Ohio
Jim Browne,208.0,106.0,,1930.0,Midlothian,Illinois
Walt Budko,196.0,99.0,Columbia University,1925.0,Kearney,New Jersey
Jack Burmaster,190.0,86.0,University of Illinois at Urbana-Champaign,1926.0,,
Tommy Byrnes,190.0,79.0,Seton Hall University,1923.0,Teaneck,New Jersey
Bill Calhoun,190.0,81.0,City College of San Francisco,1927.0,San Francisco,California
Don Carlson,183.0,77.0,University of Minnesota,1919.0,Minneapolis,Minnesota
Bob Carpenter,196.0,90.0,East Texas State University,1917.0,,
Jake Carter,193.0,88.0,East Texas State University,1924.0,,
Al Cervi*,180.0,77.0,,1917.0,Buffalo,New York
John Chaney,190.0,83.0,Louisiana State University,1920.0,,
Leroy Chollet,188.0,86.0,Canisius College,1925.0,New Orleans,Louisiana
Bill Closs,196.0,88.0,Rice University,1922.0,Edge,Texas
Paul Cloyd,188.0,81.0,University of Wisconsin,1920.0,,
Jack Coleman,201.0,88.0,University of Louisville,1924.0,Burgin,Kentucky
Bobby Cook,178.0,70.0,University of Wisconsin,1923.0,,
Ray Corley,183.0,81.0,Georgetown University,1928.0,,
Jack Cotton,201.0,90.0,University of Wyoming,1924.0,Miles City,Montana
Dillard Crocker,193.0,92.0,Western Michigan University,1925.0,Coffee County,Tennessee
Chink Crossin,185.0,74.0,University of Pennsylvania,1923.0,Luzerne,Pennsylvania
Fran Curran,183.0,79.0,University of Notre Dame,1922.0,Sterling,Illinois
Jimmy Darden,185.0,77.0,University of Denver,1922.0,,
Bob Davies*,185.0,79.0,Seton Hall University,1920.0,Harrisburg,Pennsylvania
Hook Dillon,190.0,81.0,University of North Carolina,1924.0,Savannah,Georgia
Earl Dodd,196.0,79.0,Truman State University,1924.0,,
Joe Dolhon,183.0,79.0,New York University,1927.0,,
Bob Doll,196.0,88.0,University of Colorado,1919.0,Steamboat Springs,Colorado
Harry Donovan,188.0,81.0,Muhlenberg College,1926.0,Union City,New Jersey
Andy Duncan,198.0,88.0,College of William & Mary,1922.0,,
Dike Eddleman,190.0,85.0,University of Illinois at Urbana-Champaign,1922.0,Centralia,Illinois
Gene Englund,196.0,92.0,University of Wisconsin,1917.0,Kenosha,Wisconsin
Bob Evans,188.0,79.0,Butler University,1925.0,Indianapolis,Indiana
Johnny Ezersky,190.0,79.0,University of Rhode Island,1922.0,New York,New York
Bob Feerick,190.0,86.0,Santa Clara University,1920.0,San Francisco,California
George Feigenbaum,185.0,83.0,University of Kentucky,1929.0,,
Arnie Ferrin,188.0,81.0,University of Utah,1925.0,Salt Lake City,Utah
Jerry Fleishman,188.0,86.0,New York University,1922.0,Brooklyn,New York
Joe Fulks*,196.0,86.0,Murray State University,1921.0,Birmingham,Kentucky
Bill Gabor,180.0,77.0,Syracuse University,1922.0,,
Elmer Gainer,198.0,88.0,DePaul University,1918.0,Chicago,Illinois
Harry Gallatin*,198.0,95.0,Truman State University,1927.0,Roxana,Illinois
Vern Gardner,196.0,90.0,University of Utah,1925.0,Afton,Wyoming
Frank Gates,183.0,72.0,Sam Houston State University,1920.0,,
Dee Gibson,180.0,79.0,Western Kentucky University,1923.0,,
Hoot Gibson,196.0,89.0,Creighton University,1921.0,,
Chuck Gilmur,193.0,102.0,University of Washington,1922.0,,
Normie Glick,201.0,86.0,Loyola Marymount University,1927.0,,
Paul Gordon,190.0,83.0,University of Notre Dame,1927.0,,
Joe Graboski,201.0,88.0,,1930.0,,
Bud Grant,190.0,88.0,University of Minnesota,1927.0,Superior,Wisconsin
Don Grate,188.0,83.0,Ohio State University,1923.0,Greenfield,Ohio
Alex Groza,201.0,98.0,University of Kentucky,1926.0,Martins Ferry,Ohio
Al Guokas,196.0,90.0,Saint Joseph's University,1925.0,,
Robert Hahn,208.0,108.0,North Carolina State University,1925.0,,
Chick Halbert,206.0,102.0,West Texas A&M University,1919.0,Albany,Texas
Bruce Hale,185.0,77.0,Santa Clara University,1918.0,Medford,Oregon
Dale Hamilton,183.0,81.0,Franklin College,1919.0,,
Alex Hannum*,201.0,95.0,University of Southern California,1923.0,Los Angeles,California
John Hargis,188.0,81.0,University of Texas at Austin,1920.0,Nacogdoches,Texas
